City,Latitude,Longitude,Timestamp,VehicleCount,Speed,WeatherCondition,EventName,EventImpact,Hour,DayOfWeek,IsWeekend,CongestionLevel
Mumbai,19.076,72.8777,2025-12-09 00:00:00.475677,781,58.48,Cloudy,None,0.0,0,1,0,0
Mumbai,19.076,72.8777,2025-12-09 01:00:00.475677,423,60.28,Cloudy,None,0.0,1,1,0,0
Mumbai,19.076,72.8777,2025-12-09 02:00:00.475677,701,55.65,Cloudy,None,0.0,2,1,0,0
Mumbai,19.076,72.8777,2025-12-09 03:00:00.475677,714,56.17,Clear,None,0.0,3,1,0,0
Mumbai,19.076,72.8777,2025-12-09 04:00:00.475677,595,33.46,Storm,None,0.0,4,1,0,1
Mumbai,19.076,72.8777,2025-12-09 05:00:00.475677,386,46.21,Rain,None,0.0,5,1,0,0
Mumbai,19.076,72.8777,2025-12-09 06:00:00.475677,569,32.22,Rain,Accident,0.5,6,1,0,1
Mumbai,19.076,72.8777,2025-12-09 07:00:00.475677,518,39.27,Rain,None,0.0,7,1,0,1
Mumbai,19.076,72.8777,2025-12-09 08:00:00.475677,2475,22.81,Clear,None,0.0,8,1,0,2
Mumbai,19.076,72.8777,2025-12-09 09:00:00.475677,2777,26.13,Clear,None,0.0,9,1,0,1
Mumbai,19.076,72.8777,2025-12-09 10:00:00.475677,2626,14.16,Clear,None,0.0,10,1,0,2
Mumbai,19.076,72.8777,2025-12-09 11:00:00.475677,2764,14.73,Cloudy,None,0.0,11,1,0,2
Mumbai,19.076,72.8777,2025-12-09 12:00:00.475677,1390,45.93,Cloudy,None,0.0,12,1,0,0
Mumbai,19.076,72.8777,2025-12-09 13:00:00.475677,1505,34.81,Clear,None,0.0,13,1,0,1
Mumbai,19.076,72.8777,2025-12-09 14:00:00.475677,1484,44.72,Clear,None,0.0,14,1,0,1
Mumbai,19.076,72.8777,2025-12-09 15:00:00.475677,1614,42.79,Clear,None,0.0,15,1,0,1
Mumbai,19.076,72.8777,2025-12-09 16:00:00.475677,1681,26.81,Rain,None,0.0,16,1,0,1
Mumbai,19.076,72.8777,2025-12-09 17:00:00.475677,2710,17.19,Clear,None,0.0,17,1,0,2
Mumbai,19.076,72.8777,2025-12-09 18:00:00.475677,4548,5.0,Clear,Match,0.8,18,1,0,2
Mumbai,19.076,72.8777,2025-12-09 19:00:00.475677,2672,14.95,Clear,None,0.0,19,1,0,2
Mumbai,19.076,72.8777,2025-12-09 20:00:00.475677,2682,28.9,Rain,None,0.0,20,1,0,1
Mumbai,19.076,72.8777,2025-12-09 21:00:00.475677,452,54.25,Clear,None,0.0,21,1,0,0
Mumbai,19.076,72.8777,2025-12-09 22:00:00.475677,271,56.39,Clear,None,0.0,22,1,0,0
Mumbai,19.076,72.8777,2025-12-09 23:00:00.475677,466,53.1,Cloudy,None,0.0,23,1,0,0
Mumbai,19.076,72.8777,2025-12-10 00:00:00.475677,316,55.6,Clear,None,0.0,0,2,0,0
Mumbai,19.076,72.8777,2025-12-10 01:00:00.475677,390,38.75,Clear,None,0.0,1,2,0,1
Mumbai,19.076,72.8777,2025-12-10 02:00:00.475677,781,53.58,Clear,None,0.0,2,2,0,0
Mumbai,19.076,72.8777,2025-12-10 03:00:00.475677,604,58.48,Clear,None,0.0,3,2,0,0
